Rank,Name,Company,Volume,Sides,City,State
206,Mark Cleary,Cannon Cleary McGraw,$124.33M,222,Oxford,MS
207,Helena Morton,Ocean Reef Club Sotheby's International Realty,$124.24M,19,Key Largo,FL
208,Jennifer Kalish,Douglas Elliman,$123.97M,28,New York,NY
209,Chao Wen,Compass,$123.89M,53,Menlo Park,CA
210,Maryam Amiri,Redfin,$123.57M,76,Irvine,CA
211,Mandy Welgos,Aspen Snowmass Sotheby's International Realty,$122.58M,6,Aspen,CO
212,Iskren 'Isi' Georgiev,Gibson Sotheby's International Realty,$122.42M,64.3,Provincetown,MA
213,Ash Rizk,Coldwell Banker Realty,$122.40M,50,Arcadia,CA
214,Kira Greene,Compass,$121.84M,104,Providence,RI
215,Vincent Horcasitas,Saunders & Associates,$121.77M,32,Bridgehampton,NY
216,Benyamin Illulian,Keller Williams,$121.74M,22,Downey,CA
217,John Reynolds,Douglas Elliman,$121.58M,21,Palm Beach,FL
218,Robert Bredel,Christie's International Real Estate Sereno,$121.47M,43,San Carlos,CA
219,Carol Sollak,Engel & Völkers Wellington,$120.84M,28.7,Wellington,FL
220,Lindsay Clark-Shields,Engel & Völkers Laguna Beach,$120.51M,20.2,Laguna Beach,CA
221,Eric Iantorno,Compass,$120.39M,24,Del Mar,CA
222,David Panozzo,HomeSmart,$120.38M,212,Scottsdale,AZ
223,Haleh Clapp,Compass,$120.28M,18,Bellevue,WA
224,Mike Bohnert,Coldwell Banker Realty,$120.08M,38.8,Burlingame,CA
225,Gagan Singh,Redfin,$120.00M,80,Danville,CA
226,Jim DeRentis,Residential Properties Ltd.,$119.75M,97,Providence,RI
227,Scott Carr,Coldwell Banker Schneidmiller Realty,$119.27M,198,Coeur d'Alene,ID
228,Courtney Robertson,Compass,$119.26M,47,Houston,TX
229,Brad Keyes,Keyes Real Estate,$119.16M,58,Los Angeles,CA
230,Pamela Perkins,Four Seasons Sotheby's International Realty,$118.98M,48.9,New London,NH
231,Michael Carucci,SERHANT.,$118.37M,18,Boston,MA
232,Nick Abbadessa,REMAX Masters Realty,$118.23M,84,La Verne,CA
233,Gary Ward,CENTURY 21 Affiliated,$118.10M,46,San Clemente,CA
234,Erica Grossman,Douglas Elliman,$117.93M,13,Southampton,NY
235,Vince Marotta,Illustrated Properties,$117.59M,26,Palm Beach Gardens,FL
236,Bill Fandel,Compass,$117.56M,15,Telluride,CO
237,Annie Watson,Coldwell Banker Realty,$117.52M,21.8,Palo Alto,CA
238,Sam Augustine,Compass,$116.68M,41.5,Aspen,CO
239,Julie Hopkins,Keller Williams,$116.55M,33,Park City,UT
